Reservoir Distance	C1	C2	d13C1
247.72	1622	11	-67.8059
245.28	1657	9	-67.4274
242.84	1621	8	-67.4883
240.71	1638	6	-67.1746
238.27	1548	7	-67.7238
236.13	1538	7	-67.3696
234.31	1424	6	-67.4531
232.17	1385	5	-67.8127
229.73	1347	7	-67.8218
228.82	1122	5	-66.4763
227.3	922	3	-66.1092
225.77	829	3	-67.2051
225.16	1615	11	-67.0741
223.94	1684	8	-65.3091
221.81	1652	7	-67.3498
214.49	1604	7	-67.1688
212.36	1601	7	-67.7387
209.01	1254	6	-64.5338
208.7	1109	4	-65.3098
208.4	1085	5	-66.5694
208.09	1075	7	-65.9905
207.79	1021	7	-65.0945
207.48	1027	5	-66.2019
207.18	972	6	-65.3509
206.87	930	6	-65.8785
206.57	888	6	-66.1874
206.26	831	5	-65.4455
205.96	800	5	-64.8767
198.34	972	6	-66.5953
198.03	999	6	-66.0929
197.73	997	9	-67.3999
197.12	970	7	-66.982
195.9	1050	4	-66.9635
191.63	1022	5	-67.2084
190.41	965	6	-66.3961
189.2	1107	4	-66.4079
187.98	879	4	-66.2745
186.45	926	7	-66.0489
184.93	961	4	-65.3575
183.1	1066	6	-66.4286
181.58	991	7	-66.6025
179.75	885	6	-65.6449
177.92	731	4	-65.9601
154.75	861	5	-64.1111
153.23	884	7	-64.8361
151.4	890	6	-65.6551
149.88	908	6	-63.8875
148.05	881	6	-63.9079
146.52	853	6	-66.4619
144.69	791	8	-64.7508
137.07	580	5	-63.5291
136.16	818	4	-64.0214
135.55	877	7	-63.8033
134.64	904	6	-63.6878
133.72	921	8	-63.5452
132.81	947	7	-63.5937
131.89	997	7	-63.4288
130.98	1075	8	-62.8459
130.06	1005	6	-62.5549
129.15	1030	7	-63.9322
128.24	1080	8	-63.4086
127.32	1076	8	-64.3558
126.41	1072	8	-63.5082
125.49	1108	10	-64.1917
124.58	1111	9	-64.3622
123.66	1090	6	-62.6228
122.75	1112	7	-63.8688
121.83	1144	10	-63.5953
120.92	1146	9	-64.0093
120.01	1125	7	-63.9374
119.09	1158	8	-63.0036
117.87	1164	9	-63.779
116.96	1146	10	-63.2124
116.35	1130	8	-63.8641
114.82	1186	10	-63.0906
113.91	1157	11	-62.8182
112.69	1135	9	-63.2841
112.08	1140	11	-62.9649
110.56	965	7	-62.669
109.95	1088	10	-63.1062
109.03	1147	9	-62.1124
108.12	1147	11	-62.2272
107.2	1179	12	-62.7605
106.29	1230	9	-62.4557
105.38	1191	10	-62.7938
104.46	1174	13	-63.4113
103.24	1153	11	-62.9385
102.33	993	10	-62.0459
67.88	805	17	-56.5709
62.4	829	19	-56.574
61.79	829	19	-57.0406
61.18	826	17	-55.766
60.26	798	16	-55.7075
54.47	875	20	-55.8489
53.56	876	16	-57.3352
52.64	869	20	-55.0255
52.04	877	18	-55.1456
51.12	879	18	-55.0041
50.51	828	19	-53.9688
48.99	937	24	-56.4778
48.07	952	24	-54.7086
46.85	1058	24	-55.7865
44.11	880	16	-55.7544
43.2	838	17	-55.2183
42.28	769	13	-56.9948
39.84	833	17	-56.1611
38.93	838	17	-56.5759
38.01	827	16	-56.0439
37.1	814	16	-54.84
36.19	812	16	-53.4046
35.58	801	15	-53.9753
31.31	999	25	-54.2088
30.7	838	20	-54.4877
29.48	1160	27	-54.0064
28.26	1115	24	-54.6368
27.04	1082	23	-53.3173
26.74	1058	22	-54.325
25.52	1018	22	-53.4294
24.6	966	22	-54.1397
23.69	892	21	-54.3166
23.08	979	25	-51.8906
22.16	890	22	-52.2429
21.56	915	21	-54.3435
16.68	849	22	-54.2502
16.07	886	22	-52.9707
15.46	941	21	-53.0657
14.24	922	22	-53.2545
13.02	912	23	-52.7075
11.8	921	24	-53.77
10.89	943	24	-52.9455
9.67	955	25	-52.5729
8.75	972	25	-50.2249
7.53	994	31	-52.8409
6.62	991	28	-52.5039
5.4	951	28	-52.2087
4.49	899	30	-52.2633
3.27	807	30	-50.883
2.35	1888	96	-51.2499
1.44	2140	107	-51.9392
1.13	1597	78	-52.3312
0.52	1384	67	-51.2643
0.22	1724	99	-51.1623
