Distance Reservoir	C1	C2	d13C1
370.75	2046	57	-54.872
368.75	2267	64	-54.9368
366.5	2347	67	-55.2261
364.5	2351	68	-55.2251
362.5	2407	69	-54.7663
360.5	2488	73	-55.301
358.25	2570	77	-55.1161
356	2364	72	-54.9401
354	2734	83	-54.637
349.75	1111	33	-54.4728
347.5	1957	55	-54.9291
345.5	2085	64	-54.3952
343.5	2210	67	-55.2018
341.25	2376	72	-55.0416
339.25	2403	74	-55.0506
337	2494	76	-54.5607
335	2510	79	-55.0659
332.75	2533	80	-54.2084
330.25	2543	79	-54.4267
328	2305	72	-54.4422
324.25	2167	70	-54.9333
322.25	1759	57	-54.4069
320.75	1034	33	-53.5456
319.5	1748	57	-53.1043
317.25	1891	61	-54.1705
315.5	2036	62	-54.386
313.5	2149	72	-54.0919
311.5	2286	76	-53.9553
309.25	2353	80	-53.4719
307	2420	83	-53.827
305	2315	76	-53.8632
302.5	2361	81	-53.6761
300.25	2323	80	-53.9561
297.75	2243	78	-53.9161
295	1809	62	-54.2026
293	1260	43	-53.2894
292.25	866	30	-53.1386
289.75	1865	64	-53.5401
287.75	2159	77	-53.3554
286	2486	93	-53.1133
283.75	2370	88	-53.399
281.75	2406	90	-53.6679
279.5	2359	88	-53.1059
277.5	2357	92	-53.3292
275.25	2405	91	-53.198
273	2485	93	-53.2942
271	2423	92	-53.0976
270.25	2256	86	-53.6744
268.25	2388	94	-53.7701
265.75	2231	86	-53.0762
263.75	1584	61	-52.9736
260	1979	76	-52.1354
258	2069	80	-52.4871
255.75	2396	93	-52.5954
253.75	2563	100	-52.1901
251.5	2463	96	-52.5637
249.5	2438	93	-52.7017
247.25	2461	96	-52.1215
245.25	2500	108	-52.8427
243	2313	90	-52.5522
241	2338	89	-52.3385
236.25	1989	78	-52.7229
234.5	1277	51	-51.7912
233	1847	72	-51.4634
230.5	2060	80	-51.9176
228.5	2160	84	-52.1071
226.25	2386	94	-51.5752
224.25	2153	84	-51.9295
222	2039	80	-52.4515
219.75	1711	70	-51.3345
218.5	2000	76	-51.6989
216.5	2051	82	-51.8407
214.5	2032	82	-51.2815
212.25	2065	83	-51.4274
207.25	1501	61	-52.2455
206	1143	40	-52.1549
204.25	1716	71	-51.3354
202.5	1734	71	-51.6725
200	1889	74	-51.8805
198	1849	76	-51.4632
195.75	1885	77	-51.306
193.5	1894	78	-50.6872
191.25	1823	75	-50.8404
189	1938	80	-51.2811
187	1996	82	-51.7135
184.75	1937	82	-50.8409
184.25	1935	81	-51.6893
180.25	2078	89	-50.8483
178.25	1536	65	-50.813
175.75	1972	84	-50.8595
173.25	2211	95	-50.6769
171.25	2099	90	-50.75
169	2287	99	-50.0875
167	2213	95	-50.696
164.75	2262	97	-50.6166
162.5	2122	90	-51.0995
160.5	2242	97	-50.7404
158.25	2305	101	-50.422
152	2104	90	-50.4134
149.75	1372	62	-50.6846
148.75	1202	58	-50.3227
146.5	1934	85	-50.3831
144	2097	91	-50.3011
141.75	1716	75	-49.9495
139.25	1507	66	-49.6533
137	1612	71	-50.2318
134.5	1695	76	-49.999
132.75	2186	99	-49.712
131	2251	103	-50.3147
129	2427	110	-49.6971
127.25	2419	108	-49.3979
125.25	2440	113	-49.2649
123.5	2497	116	-49.7588
121.5	2116	98	-49.1933
120	1340	64	-49.9477
