distance_from_reservoird	C13_C1
635.42	-70.9083
633.9	-69.5999
631.76	-69.3546
630.24	-69.3333
629.33	-69.4872
627.19	-70.21
625.36	-70.4032
623.23	-70.8806
621.4	-70.4943
620.18	-70.1082
618.35	-69.6903
616.83	-71.4571
613.48	-69.4066
611.95	-69.8156
610.73	-69.7795
609.21	-69.7015
607.38	-70.9733
605.25	-69.3993
602.81	-69.9597
601.89	-68.5271
599.15	-70.8445
595.8	-69.5105
593.66	-70.6003
591.84	-71.7363
588.18	-69.6502
586.04	-71.1552
583.61	-69.465
581.78	-70.3554
579.64	-70.6331
577.51	-70.6593
575.38	-69.4503
573.55	-70.1314
572.02	-70.6205
569.89	-70.3722
567.76	-71.2192
565.62	-70.5147
563.79	-70.5468
560.75	-69.4882
558.61	-70.62
556.48	-70.9175
554.65	-70.6523
552.52	-70.1872
550.08	-70.0259
548.25	-70.3382
546.12	-69.6071
543.68	-69.1409
542.46	-66.4048
542.15	-70.7642
540.63	-70.6983
538.5	-70.2498
536.06	-70.2758
532.1	-68.7452
529.96	-71.1563
527.52	-71.288
525.08	-71.0745
522.95	-70.4172
520.51	-70.5362
514.72	-70.1554
514.11	-70.5417
511.37	-70.1464
509.24	-69.8893
507.1	-71.0757
505.27	-69.3377
502.83	-69.5409
500.4	-70.5795
498.26	-70.5342
495.82	-70.4352
493.69	-69.7923
491.56	-70.1838
487.29	-68.4114
486.98	-69.9362
485.77	-70.4595
483.63	-70.1869
481.19	-69.9479
479.06	-70.3162
478.15	-69.7924
473.57	-70.3
471.14	-69.6551
469.31	-70.1743
466.87	-70.2173
464.12	-70.1824
461.69	-69.4778
460.16	-69.2305
457.72	-67.6253
455.9	-71.0777
453.46	-70.4037
451.02	-70.4557
449.49	-68.8558
447.06	-69.5082
444.62	-71.0871
442.18	-69.4298
439.74	-70.2423
437.3	-70.9417
435.17	-70.3788
432.73	-70.1678
431.51	-69.6076
429.68	-68.3706
427.55	-68.4906
426.63	-70.0069
424.81	-69.7789
422.98	-67.3416
420.23	-69.1926
418.1	-70.0784
415.66	-70.11
413.22	-70.2748
411.09	-70.4521
408.65	-70.5325
406.52	-69.6596
404.08	-70.2827
401.64	-68.7851
399.51	-66.7977
397.98	-68.0355
397.07	-70.0615
395.85	-70.2016
393.41	-70.8378
390.97	-70.5567
387.32	-69.6313
385.18	-70.0446
382.44	-69.5889
380.61	-69.9305
378.17	-69.9955
375.73	-70.047
373.29	-69.9204
370.86	-69.3686
370.55	-69.3908
368.42	-69.6437
366.28	-70.076
363.85	-69.8859
361.71	-69.1817
360.49	-67.3677
358.36	-69.4965
355.92	-69.9886
353.79	-69.8505
351.65	-70.3322
349.22	-70.14
347.08	-69.1714
344.64	-69.0242
341.6	-68.4282
339.77	-69.0014
337.94	-69.8762
335.8	-69.4238
333.98	-67.9009
331.84	-68.3223
329.71	-69.436
327.27	-68.9746
325.14	-69.7865
323	-70.208
320.56	-69.4623
318.74	-68.6883
314.77	-68.3747
314.47	-68.6606
312.33	-69.2063
309.9	-69.6741
307.76	-68.849
304.41	-67.6649
302.28	-69.266
299.84	-69.2684
297.7	-69.5355
295.57	-68.8934
293.44	-69.1268
291	-68.4218
288.86	-67.4131
286.73	-68.0769
285.21	-67.7755
284.9	-68.2806
283.68	-68.4624
281.55	-68.2449
279.11	-68.2228
277.89	-67.6074
276.98	-68.5861
275.15	-68.4022
266.92	-68.419
264.79	-68.3192
262.35	-68.7157
260.21	-66.7417
257.78	-66.576
256.56	-68.3148
255.95	-67.4375
255.03	-67.0346
254.73	-67.3329
252.29	-67.686
250.16	-68.3674
247.72	-67.8059
245.28	-67.4274
242.84	-67.4883
240.71	-67.1746
238.27	-67.7238
236.13	-67.3696
234.31	-67.4531
232.17	-67.8127
229.73	-67.8218
228.82	-66.4763
227.3	-66.1092
225.77	-67.2051
225.16	-67.0741
223.94	-65.3091
221.81	-67.3498
214.49	-67.1688
212.36	-67.7387
209.01	-64.5338
208.7	-65.3098
208.4	-66.5694
208.09	-65.9905
207.79	-65.0945
207.48	-66.2019
207.18	-65.3509
206.87	-65.8785
206.57	-66.1874
206.26	-65.4455
205.96	-64.8767
198.34	-66.5953
198.03	-66.0929
197.73	-67.3999
197.12	-66.982
196.51	-67.3385
195.9	-66.9635
191.63	-67.2084
190.41	-66.3961
189.2	-66.4079
187.98	-66.2745
186.45	-66.0489
184.93	-65.3575
183.1	-66.4286
181.58	-66.6025
179.75	-65.6449
177.92	-65.9601
154.75	-64.1111
153.23	-64.8361
151.4	-65.6551
149.88	-63.8875
148.05	-63.9079
146.52	-66.4619
144.69	-64.7508
137.07	-63.5291
136.16	-64.0214
135.55	-63.8033
134.64	-63.6878
133.72	-63.5452
132.81	-63.5937
131.89	-63.4288
130.98	-62.8459
130.06	-62.5549
129.15	-63.9322
128.24	-63.4086
127.32	-64.3558
126.41	-63.5082
125.49	-64.1917
124.58	-64.3622
123.66	-62.6228
122.75	-63.8688
121.83	-63.5953
120.92	-64.0093
120.01	-63.9374
119.09	-63.0036
117.87	-63.779
116.96	-63.2124
116.35	-63.8641
114.82	-63.0906
113.91	-62.8182
112.69	-63.2841
112.08	-62.9649
110.56	-62.669
109.95	-63.1062
109.03	-62.1124
108.12	-62.2272
107.2	-62.7605
106.29	-62.4557
105.38	-62.7938
104.46	-63.4113
103.24	-62.9385
102.33	-62.0459
67.88	-56.5709
62.4	-56.574
61.79	-57.0406
61.18	-55.766
60.26	-55.7075
54.47	-55.8489
53.56	-57.3352
52.64	-55.0255
52.04	-55.1456
51.12	-55.0041
50.51	-53.9688
48.99	-56.4778
48.07	-54.7086
46.85	-55.7865
44.11	-55.7544
43.2	-55.2183
42.28	-56.9948
39.84	-56.1611
38.93	-56.5759
38.01	-56.0439
37.1	-54.84
36.19	-53.4046
35.58	-53.9753
31.31	-54.2088
30.7	-54.4877
29.48	-54.0064
28.26	-54.6368
27.04	-53.3173
26.74	-54.325
25.52	-53.4294
24.6	-54.1397
23.69	-54.3166
23.08	-51.8906
22.16	-52.2429
21.56	-54.3435
16.68	-54.2502
16.07	-52.9707
15.46	-53.0657
14.24	-53.2545
13.02	-52.7075
11.8	-53.77
10.89	-52.9455
9.67	-52.5729
8.75	-50.2249
7.53	-52.8409
6.62	-52.5039
5.4	-52.2087
4.49	-52.2633
3.27	-50.883
2.35	-51.2499
1.44	-51.9392
1.13	-52.3312
0.52	-51.2643
0.22	-51.1623
0.09	-51.4639
